any day  20d: { up: '58.1', med: '1.11' }  60d: { up: '61.8', med: '2.85' }
gain  give  tight |   n  | 20d up%  med%  | 60d up%  med%
   6%   40%  true |  405 |  56.9    0.91  |  60.7    1.87
   6%   40% false |  453 |  55.8    0.81  |  60.4    2.00
   6%   50%  true |  527 |  56.5    0.93  |  61.3    2.51
   6%   50% false |  601 |  56.3    0.82  |  61.5    2.86
   6%   62%  true |  639 |  56.6    0.94  |  61.2    3.20
   6%   62% false |  752 |  56.2    0.92  |  61.3    3.17
   8%   40%  true |  234 |  55.4    0.82  |  64.1    3.86
   8%   40% false |  260 |  55.2    0.61  |  64.2    3.78
   8%   50%  true |  303 |  55.7    0.93  |  65.8    4.67
   8%   50% false |  340 |  55.3    0.54  |  65.6    4.28
   8%   62%  true |  377 |  54.8    0.90  |  64.7    4.65
   8%   62% false |  437 |  54.1    0.54  |  64.2    4.23
  10%   40%  true |  145 |  57.6    1.43  |  69.9    6.20
  10%   40% false |  161 |  58.1    1.43  |  69.8    6.36
  10%   50%  true |  192 |  57.7    1.19  |  70.2    6.56
  10%   50% false |  220 |  57.3    0.87  |  69.3    6.36
  10%   62%  true |  238 |  57.4    1.19  |  69.2    6.56
  10%   62% false |  275 |  57.1    1.02  |  67.8    6.42
  15%   40%  true |   48 |  53.2    0.34  |  63.8    6.48
  15%   40% false |   53 |  57.7    1.34  |  63.5    5.63
  15%   50%  true |   60 |  52.5    0.07  |  62.7    6.48
  15%   50% false |   67 |  54.5    0.25  |  63.6    5.63
  15%   62%  true |   78 |  50.6    0.01  |  59.7    4.97
  15%   62% false |   86 |  52.9    0.17  |  58.8    4.54
